,Unnamed: 0,Url_logo,Name,League,Overall_rating,Attack,Mid,Defense,Defensive_style,Offensive_style,Captain,SFK,LFK,LSFK,RSFK,PEN,Left_corner,Right_corner,XI_average_age,Team_average_age,Transfert_budget,Home_stadium,Rival_team,url_fbref,url_current_fbref,team_gender,from,to,comps,champs,other_names,logo
48,53,https://cdn.sofifa.com/teams/1800/light_60.png,Coventry City, English League One (3),65,65,66,65,Press After Possession Loss,Balanced,L. Kelly,J. Shipley,L. Kelly,L. Walsh,J. Shipley,M. Godden,J. Shipley,J. Shipley,23.91,22.79,Euros-1.3M,Molton Road (Sheldon Stadium),Leicester City,https://fbref.com/en/squads/f7e3dfe9/history/Coventry-City-Stats,https://fbref.com/en/squads/f7e3dfe9/Coventry-City-Stat,M,1992-1993,2019-2020,28,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/f7e3dfe9.png
49,55,https://cdn.sofifa.com/teams/1933/light_60.png,Wycombe Wanderers, English League One (3),65,65,65,65,Pressure On Heavy Touch,Long Ball,M. Bloomfield,J. Jacobson,J. Jacobson,J. Jacobson,J. Jacobson,J. Jacobson,J. Jacobson,J. Jacobson,28.18,25.68,Euros-750K,Court Lane,Colchester United,https://fbref.com/en/squads/43c2583e/history/Wycombe-Wanderers-Stats,https://fbref.com/en/squads/43c2583e/Wycombe-Wanderers-Stat,M,2002-2003,2019-2020,18,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/43c2583e.png
50,56,https://cdn.sofifa.com/teams/142/light_60.png,Doncaster Rovers, English League One (3),65,65,67,64,Pressure On Heavy Touch,Balanced,B. Whiteman,J. Coppinger,B. Sheaf,J. Coppinger,K. Sadlier,B. Whiteman,J. Coppinger,R. James,25.18,22.75,Euros-1.3M,Molton Road (Sheldon Stadium),Rotherham United,https://fbref.com/en/squads/03d10d77/history/Doncaster-Rovers-Stats,https://fbref.com/en/squads/03d10d77/Doncaster-Rovers-Stat,M,2003-2004,2019-2020,17,2,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/03d10d77.png
51,57,https://cdn.sofifa.com/teams/149/light_60.png,Lincoln City, English League One (3),65,64,66,63,Pressure On Heavy Touch,Balanced,L. Bridcutt,J. Grant,J. Grant,J. Grant,J. Grant,T. Hopper,J. Grant,J. Grant,25.64,23.36,Euros-1.3M,Crown Lane,Grimsby Town,https://fbref.com/en/squads/d76b7bed/history/Lincoln-City-Stats,https://fbref.com/en/squads/d76b7bed/Lincoln-City-Stat,M,2002-2003,2019-2020,18,2,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/d76b7bed.png
52,58,https://cdn.sofifa.com/teams/1962/light_60.png,Bristol Rovers, English League One (3),65,62,64,63,Balanced,Long Ball,O. Clarke,O. Clarke,T. Craig,O. Clarke,L. Leahy,J. Clarke-Harris,L. Leahy,L. Leahy,26.64,24.79,Euros-750K,Court Lane,Bristol City,https://fbref.com/en/squads/654f3ca6/history/Bristol-Rovers-Stats,https://fbref.com/en/squads/654f3ca6/Bristol-Rovers-Stat,M,2002-2003,2019-2020,18,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/654f3ca6.png
53,59,https://cdn.sofifa.com/teams/1798/light_60.png,Milton Keynes Dons, English League One (3),64,65,64,64,Balanced,Possession,D. Lewington,A. Gilbey,D. Lewington,A. Gilbey,D. Lewington,A. Gilbey,C. McGrandles,D. Lewington,24.91,24.21,Euros-1.5M,Molton Road (Sheldon Stadium),Peterborough United,https://fbref.com/en/squads/fcf5b1e1/history/Milton-Keynes-Dons-Stats,https://fbref.com/en/squads/fcf5b1e1/Milton-Keynes-Dons-Stat,M,2004-2005,2019-2020,16,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/fcf5b1e1.png
54,60,https://cdn.sofifa.com/teams/113926/light_60.png,Salford City, English League Two (4),64,65,66,63,Pressure On Heavy Touch,Long Ball,A. Eastham,M. O'Connor,I. Touray,M. O'Connor,I. Touray,J. Wilson,I. Touray,I. Touray,26.09,24.96,Euros-1.5M,Town Park,Oldham Athletic,https://fbref.com/en/squads/4cefb8c7/history/Salford-City-FC-Stats,https://fbref.com/en/squads/4cefb8c7/Salford-City-FC-Stat,M,2015-2016,2019-2020,2,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/4cefb8c7.png
55,61,https://cdn.sofifa.com/teams/561/light_60.png,Forest Green Rovers, English League Two (4),64,56,63,63,Balanced,Balanced,C. Winchester,C. Winchester,C. Winchester,C. Winchester,C. Winchester,C. Winchester,C. Winchester,C. Winchester,23.82,23.86,Euros-1M,Town Park,Cheltenham Town,https://fbref.com/en/squads/f1eb9593/history/Forest-Green-Rovers-Stats,https://fbref.com/en/squads/f1eb9593/Forest-Green-Rovers-Stat,M,2006-2007,2019-2020,14,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/f1eb9593.png
56,62,https://cdn.sofifa.com/teams/1934/light_60.png,Swindon Town, English League Two (4),64,66,64,64,Balanced,Long Ball,M. Doughty,M. Doughty,L. Isgrove,M. Doughty,M. Doughty,E. Doyle,M. Doughty,M. Doughty,26.73,24.39,Euros-750K,Court Lane,Oxford United,https://fbref.com/en/squads/1b295b25/history/Swindon-Town-Stats,https://fbref.com/en/squads/1b295b25/Swindon-Town-Stat,M,1993-1994,2019-2020,19,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/1b295b25.png
57,63,https://cdn.sofifa.com/teams/1935/light_60.png,Colchester United, English League Two (4),64,64,64,64,Balanced,Balanced,L. Prosser,C. Bramall,C. Bramall,L. Norris,C. Bramall,L. Norris,C. Bramall,C. Bramall,25.82,23.64,Euros-500K,Court Lane,Southend United,https://fbref.com/en/squads/b17b8146/history/Colchester-United-Stats,https://fbref.com/en/squads/b17b8146/Colchester-United-Stat,M,2002-2003,2019-2020,18,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/b17b8146.png
58,65,https://cdn.sofifa.com/teams/15015/light_60.png,Burton Albion, English League One (3),64,65,64,64,Balanced,Balanced,L. Akins,S. Fraser,S. Fraser,S. Fraser,S. Fraser,L. Akins,S. Fraser,S. Fraser,27.0,25.18,Euros-750K,Town Park,Derby County,https://fbref.com/en/squads/b09787c5/history/Burton-Albion-Stats,https://fbref.com/en/squads/b09787c5/Burton-Albion-Stat,M,2006-2007,2019-2020,14,2,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/b09787c5.png
59,66,https://cdn.sofifa.com/teams/15048/light_60.png,Tranmere Rovers, English League One (3),64,66,64,63,Balanced,Long Ball,S. Davies,K. Morris,L. Ridehalgh,K. Morris,K. Morris,J. Vaughan,L. Ridehalgh,K. Morris,27.36,26.54,Euros-750K,Ivy Lane,Oldham Athletic,https://fbref.com/en/squads/22327064/history/Tranmere-Rovers-Stats,https://fbref.com/en/squads/22327064/Tranmere-Rovers-Stat,M,2002-2003,2019-2020,18,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/22327064.png
60,67,https://cdn.sofifa.com/teams/1802/light_60.png,Gillingham, English League One (3),63,63,63,63,Balanced,Long Ball,M. Ehmer,O. Lee,O. Lee,O. Lee,O. Lee,J. Akinde,O. Lee,O. Lee,25.0,25.14,Euros-1M,Court Lane,Swindon Town,https://fbref.com/en/squads/5f01284a/history/Gillingham-Stats,https://fbref.com/en/squads/5f01284a/Gillingham-Stat,M,2001-2002,2019-2020,19,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/5f01284a.png
61,68,https://cdn.sofifa.com/teams/1803/light_60.png,Walsall, English League Two (4),63,62,63,63,Balanced,Balanced,M. Sadler,R. Holden,D. Guthrie,D. Guthrie,R. Holden,J. Gordon,R. Holden,R. Holden,24.55,22.96,Euros-750K,Court Lane,Shrewsbury,https://fbref.com/en/squads/d96bbc04/history/Walsall-Stats,https://fbref.com/en/squads/d96bbc04/Walsall-Stat,M,2001-2002,2019-2020,19,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/d96bbc04.png
62,70,https://cdn.sofifa.com/teams/112259/light_60.png,AFC Wimbledon, English League One (3),63,64,62,62,Drop Back,Fast Build Up,J. Pigott,L. O'Neill,L. O'Neill,M. Sanders,L. O'Neill,J. Pigott,A. Hartigan,C. Reilly,23.27,22.14,Euros-500K,Town Park,Milton Keynes Dons,https://fbref.com/en/squads/8b9bf22a/history/AFC-Wimbledon-Stats,https://fbref.com/en/squads/8b9bf22a/AFC-Wimbledon-Stat,M,2009-2010,2019-2020,11,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/8b9bf22a.png
63,71,https://cdn.sofifa.com/teams/1928/light_60.png,Port Vale, English League Two (4),63,62,63,63,Balanced,Long Ball,L. Legge,T. Conlon,D. Worrall,T. Conlon,D. Worrall,M. Cullen,T. Conlon,D. Worrall,27.09,24.93,Euros-750K,Court Lane,Stoke City,https://fbref.com/en/squads/62657aa0/history/Port-Vale-Stats,https://fbref.com/en/squads/62657aa0/Port-Vale-Stat,M,2002-2003,2019-2020,18,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/62657aa0.png
64,72,https://cdn.sofifa.com/teams/1929/light_60.png,Plymouth Argyle, English League Two (4),63,61,63,64,Balanced,Balanced,G. Sawyer,G. Cooper,G. Cooper,G. Cooper,G. Cooper,A. Sarcevic,G. Cooper,G. Cooper,25.82,23.84,Euros-1.3M,Molton Road (Sheldon Stadium),Exeter City,https://fbref.com/en/squads/32a1480e/history/Plymouth-Argyle-Stats,https://fbref.com/en/squads/32a1480e/Plymouth-Argyle-Stat,M,2002-2003,2019-2020,18,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/32a1480e.png
65,73,https://cdn.sofifa.com/teams/1930/light_60.png,Northampton Town, English League Two (4),63,62,63,63,Pressure On Heavy Touch,Balanced,C. Goode,C. Lines,C. Lines,C. Lines,C. Lines,S. Hoskins,N. Adams,N. Adams,27.45,24.93,Euros-1M,Court Lane,Peterborough United,https://fbref.com/en/squads/986a26c1/history/Northampton-Town-Stats,https://fbref.com/en/squads/986a26c1/Northampton-Town-Stat,M,2002-2003,2019-2020,18,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/986a26c1.png
66,74,https://cdn.sofifa.com/teams/143/light_60.png,Exeter City, English League Two (4),63,64,63,64,Pressure On Heavy Touch,Balanced,A. Collins,R. Williams,N. Law,N. Law,R. Williams,N. Law,N. Law,R. Williams,25.73,25.65,Euros-750K,Town Park,Plymouth Argyle,https://fbref.com/en/squads/05791fbc/history/Exeter-City-Stats,https://fbref.com/en/squads/05791fbc/Exeter-City-Stat,M,2002-2003,2019-2020,15,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/05791fbc.png
67,75,https://cdn.sofifa.com/teams/1940/light_60.png,Mansfield Town, English League Two (4),63,64,62,63,Pressure On Heavy Touch,Long Ball,K. Pearce,M. Benning,M. Benning,M. Benning,M. Benning,N. Maynard,M. Benning,M. Benning,26.45,23.63,Euros-1.5M,Court Lane,Lincoln City,https://fbref.com/en/squads/13cb8449/history/Mansfield-Town-Stats,https://fbref.com/en/squads/13cb8449/Mansfield-Town-Stat,M,2002-2003,2019-2020,18,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/13cb8449.png
68,76,https://cdn.sofifa.com/teams/1949/light_60.png,Scunthorpe United, English League Two (4),63,62,63,62,Balanced,Long Ball,R. McArdle,K. van Veen,A. Gilliead,K. van Veen,K. van Veen,K. van Veen,K. van Veen,A. Gilliead,25.73,24.07,Euros-1M,Court Lane,Grimsby Town,https://fbref.com/en/squads/3149e189/history/Scunthorpe-United-Stats,https://fbref.com/en/squads/3149e189/Scunthorpe-United-Stat,M,2002-2003,2019-2020,18,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/3149e189.png
69,77,https://cdn.sofifa.com/teams/1954/light_60.png,Southend United, English League One (3),63,63,63,64,Balanced,Balanced,M. Milligan,S. McLaughlin,S. McLaughlin,S. McLaughlin,S. McLaughlin,J. Demetriou,S. McLaughlin,S. McLaughlin,26.45,22.93,Euros-750K,Court Lane,Colchester United,https://fbref.com/en/squads/2b9f86b0/history/Southend-United-Stats,https://fbref.com/en/squads/2b9f86b0/Southend-United-Stat,M,2002-2003,2019-2020,18,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/2b9f86b0.png
70,78,https://cdn.sofifa.com/teams/110313/light_60.png,Accrington Stanley, English League One (3),63,64,63,63,Balanced,Long Ball,S. Conneely,J. Pritchard,J. Pritchard,J. Pritchard,J. Pritchard,C. Bishop,J. Pritchard,J. Pritchard,22.18,23.61,Euros-500K,Town Park,Morecambe,https://fbref.com/en/squads/9172ba36/history/Accrington-Stanley-Stats,https://fbref.com/en/squads/9172ba36/Accrington-Stanley-Stat,M,2006-2007,2019-2020,14,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/9172ba36.png
71,79,https://cdn.sofifa.com/teams/110890/light_60.png,Crawley Town, English League Two (4),62,62,62,61,Balanced,Balanced,D. Bulman,B. Lubala,B. Lubala,B. Lubala,B. Lubala,B. Lubala,B. Lubala,B. Lubala,26.55,24.18,Euros-500K,Town Park,AFC Wimbledon,https://fbref.com/en/squads/0cd8eef2/history/Crawley-Town-Stats,https://fbref.com/en/squads/0cd8eef2/Crawley-Town-Stat,M,2006-2007,2019-2020,14,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/0cd8eef2.png
72,80,https://cdn.sofifa.com/teams/92/light_60.png,Grimsby Town, English League Two (4),62,63,62,61,Balanced,Balanced,J. McKeown,J. Benson,J. Benson,J. Benson,J. Benson,J. Hanson,J. Benson,J. Benson,25.09,24.14,Euros-500K,Town Park,Scunthorpe United,https://fbref.com/en/squads/a18a87d7/history/Grimsby-Town-Stats,https://fbref.com/en/squads/a18a87d7/Grimsby-Town-Stat,M,2001-2002,2019-2020,19,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/a18a87d7.png
73,81,https://cdn.sofifa.com/teams/361/light_60.png,Stevenage, English League Two (4),62,62,59,62,Balanced,Long Ball,P. Digby,C. Carter,C. Carter,C. Carter,C. Carter,J. Cassidy,C. Carter,C. Carter,23.64,25.57,Euros-750K,Town Park,Luton Town,https://fbref.com/en/squads/aca0450a/history/Stevenage-Stats,https://fbref.com/en/squads/aca0450a/Stevenage-Stat,M,2006-2007,2019-2020,14,1,Stevenage Borough FC,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/aca0450a.png
74,82,https://cdn.sofifa.com/teams/121/light_60.png,Crewe Alexandra, English League Two (4),62,63,62,62,Pressure On Heavy Touch,Balanced,P. Ng,H. Pickering,H. Pickering,R. Wintle,H. Pickering,C. Porter,C. Kirk,H. Pickering,24.82,23.79,Euros-500K,Court Lane,Port Vale,https://fbref.com/en/squads/f13a527f/history/Crewe-Alexandra-Stats,https://fbref.com/en/squads/f13a527f/Crewe-Alexandra-Stat,M,2001-2002,2019-2020,19,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/f13a527f.png
75,85,https://cdn.sofifa.com/teams/1936/light_60.png,Cheltenham Town, English League Two (4),62,63,62,63,Balanced,Long Ball,B. Tozer,C. Hussey,C. Hussey,C. Hussey,C. Hussey,C. Thomas,C. Hussey,C. Hussey,25.64,24.11,Euros-500K,Court Lane,Forest Green Rovers,https://fbref.com/en/squads/7c4744f7/history/Cheltenham-Town-Stats,https://fbref.com/en/squads/7c4744f7/Cheltenham-Town-Stat,M,2002-2003,2019-2020,18,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/7c4744f7.png
76,86,https://cdn.sofifa.com/teams/1958/light_60.png,Leyton Orient, English League Two (4),62,61,60,61,Pressure On Heavy Touch,Balanced,J. Wright,J. Maguire-Drew,J. Wright,J. Wright,J. Maguire-Drew,J. Wright,J. Wright,J. Wright,24.64,24.43,Euros-750K,Court Lane,Southend United,https://fbref.com/en/squads/590e9120/history/Leyton-Orient-Stats,https://fbref.com/en/squads/590e9120/Leyton-Orient-Stat,M,2002-2003,2019-2020,18,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/590e9120.png
77,87,https://cdn.sofifa.com/teams/1480/light_60.png,Carlisle United, English League Two (4),62,63,61,61,Balanced,Balanced,A. Collin,N. Thomas,N. Thomas,N. Thomas,N. Thomas,N. Thomas,N. Thomas,N. Thomas,26.0,23.61,Euros-500K,Crown Lane,Preston North End,https://fbref.com/en/squads/120cfbbd/history/Carlisle-United-Stats,https://fbref.com/en/squads/120cfbbd/Carlisle-United-Stat,M,2002-2003,2019-2020,17,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/120cfbbd.png
78,88,https://cdn.sofifa.com/teams/357/light_60.png,Morecambe, English League Two (4),61,61,62,60,Drop Back,Long Ball,S. Lavelle,A. Phillips,A. Phillips,A. Phillips,A. Phillips,C. Stockton,A. Phillips,A. Phillips,25.36,26.04,Euros-500K,Town Park,Accrington Stanley,https://fbref.com/en/squads/6ca73159/history/Morecambe-Stats,https://fbref.com/en/squads/6ca73159/Morecambe-Stat,M,2006-2007,2019-2020,14,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/6ca73159.png
79,89,https://cdn.sofifa.com/teams/1944/light_60.png,Cambridge United, English League Two (4),61,61,61,59,Balanced,Possession,G. Taylor,G. Maris,G. Maris,G. Maris,G. Maris,P. Mullin,G. Maris,G. Maris,23.27,23.48,Euros-500K,Town Park,Peterborough United,https://fbref.com/en/squads/41da1cf3/history/Cambridge-United-Stats,https://fbref.com/en/squads/41da1cf3/Cambridge-United-Stat,M,2002-2003,2019-2020,17,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/41da1cf3.png
80,90,https://cdn.sofifa.com/teams/1959/light_60.png,Macclesfield Town, English League Two (4),61,61,60,61,Drop Back,Long Ball,F. Kelleher,C. Kirby,C. Kirby,C. Kirby,C. Kirby,J. Ironside,C. Kirby,C. Kirby,23.55,24.57,Euros-500K,Town Park,Port Vale,https://fbref.com/en/squads/4792ab67/history/Macclesfield-Town-Stats,https://fbref.com/en/squads/4792ab67/Macclesfield-Town-Stat,M,2002-2003,2019-2020,18,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/4792ab67.png
81,91,https://cdn.sofifa.com/teams/1945/light_60.png,Bury, English League One (3),59,59,59,58,Drop Back,Balanced,B. Curville,M. Drubble,B. Curville,M. Drubble,M. Drubble,M. Drubble,M. Drubble,M. Drubble,23.64,25.3,Euros-500K,Court Lane,Bolton Wanderers,https://fbref.com/en/squads/cbc02110/history/Bury-Stats,https://fbref.com/en/squads/cbc02110/Bury-Stat,M,2002-2003,2019-2020,18,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/cbc02110.png
